DATE,A794RX0Q048SBEA
2013-04-01,35354.0
2013-07-01,35419.0
2013-10-01,35633.0
2014-01-01,35711.0
2014-04-01,35983.0
2014-07-01,36265.0
2014-10-01,36597.0
2015-01-01,36784.0
2015-04-01,36973.0
2015-07-01,37182.0
2015-10-01,37296.0
2016-01-01,37509.0
2016-04-01,37639.0
2016-07-01,37789.0
2016-10-01,37905.0
2017-01-01,38128.0
2017-04-01,38253.0
2017-07-01,38407.0
2017-10-01,38753.0
2018-01-01,38942.0
2018-04-01,39230.0
2018-07-01,39431.0
2018-10-01,39546.0
2019-01-01,39568.0
2019-04-01,39872.0
2019-07-01,40131.0
2019-10-01,40248.0
2020-01-01,39494.0
2020-04-01,35637.0
2020-07-01,38808.0
2020-10-01,39079.0
2021-01-01,40128.0
2021-04-01,41260.0
2021-07-01,41424.0
